"Plot Title: LQC"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20309222, SEN S/N: 20309222)","Event, units (LGR S/N: 20309222, SEN S/N: 20309222)","Coupler Attached (LGR S/N: 20309222)","Host Connected (LGR S/N: 20309222)","Coupler Detached (LGR S/N: 20309222)","Stopped (LGR S/N: 20309222)","End Of File (LGR S/N: 20309222)"
1,03/04/20 11:30:00 AM,80.029,0.00,,,,,
2,03/04/20 11:45:00 AM,74.098,,,,,,
3,03/04/20 12:00:00 PM,71.856,,,,,,
4,03/04/20 12:15:00 PM,70.995,,,,,,
5,03/04/20 12:30:00 PM,69.622,,,,,,
6,03/04/20 12:45:00 PM,67.735,,,,,,
7,03/04/20 01:00:00 PM,67.564,,,,,,
8,03/04/20 01:15:00 PM,68.077,,,,,,
9,03/04/20 01:30:00 PM,68.934,,,,,,
10,03/04/20 01:45:00 PM,70.824,,,,,,
11,03/04/20 02:00:00 PM,71.339,,,,,,
12,03/04/20 02:15:00 PM,71.168,,,,,,
13,03/04/20 02:30:00 PM,71.339,,,,,,
14,03/04/20 02:45:00 PM,71.339,,,,,,
15,03/04/20 03:00:00 PM,70.480,,,,,,
16,03/04/20 03:15:00 PM,69.107,,,,,,
17,03/04/20 03:30:00 PM,68.077,,,,,,
18,03/04/20 03:45:00 PM,67.564,,,,,,
19,03/04/20 04:00:00 PM,66.537,,,,,,
20,03/04/20 04:15:00 PM,65.167,,,,,,
21,03/04/20 04:30:00 PM,62.940,,,,,,
22,03/04/20 04:45:00 PM,61.227,,,,,,
23,03/04/20 05:00:00 PM,59.851,,,,,,
24,03/04/20 05:15:00 PM,58.303,,,,,,
25,03/04/20 05:30:00 PM,57.441,,,,,,
26,03/04/20 05:45:00 PM,56.057,,,,,,
27,03/04/20 06:00:00 PM,55.017,,,,,,
28,03/04/20 06:15:00 PM,53.973,,,,,,
29,03/04/20 06:30:00 PM,52.925,,,,,,
30,03/04/20 06:45:00 PM,52.050,,,,,,
31,03/04/20 07:00:00 PM,50.643,,,,,,
32,03/04/20 07:15:00 PM,49.582,,,,,,
33,03/04/20 07:30:00 PM,48.695,,,,,,
34,03/04/20 07:45:00 PM,48.160,,,,,,
35,03/04/20 08:00:00 PM,47.266,,,,,,
36,03/04/20 08:15:00 PM,46.728,,,,,,
37,03/04/20 08:30:00 PM,46.548,,,,,,
38,03/04/20 08:45:00 PM,46.548,,,,,,
39,03/04/20 09:00:00 PM,47.266,,,,,,
40,03/04/20 09:15:00 PM,48.517,,,,,,
41,03/04/20 09:30:00 PM,49.582,,,,,,
42,03/04/20 09:45:00 PM,50.113,,,,,,
43,03/04/20 10:00:00 PM,50.466,,,,,,
44,03/04/20 10:15:00 PM,50.819,,,,,,
45,03/04/20 10:30:00 PM,51.346,,,,,,
46,03/04/20 10:45:00 PM,51.874,,,,,,
47,03/04/20 11:00:00 PM,53.274,,,,,,
48,03/04/20 11:15:00 PM,53.973,,,,,,
49,03/04/20 11:30:00 PM,54.147,,,,,,
50,03/04/20 11:45:00 PM,54.147,,,,,,
51,03/05/20 12:00:00 AM,54.147,,,,,,
52,03/05/20 12:15:00 AM,54.147,,,,,,
53,03/05/20 12:30:00 AM,54.147,,,,,,
54,03/05/20 12:45:00 AM,54.147,,,,,,
55,03/05/20 01:00:00 AM,53.973,,,,,,
56,03/05/20 01:15:00 AM,54.147,,,,,,
57,03/05/20 01:30:00 AM,54.147,,,,,,
58,03/05/20 01:45:00 AM,54.147,,,,,,
59,03/05/20 02:00:00 AM,54.322,,,,,,
60,03/05/20 02:15:00 AM,54.322,,,,,,
61,03/05/20 02:30:00 AM,54.147,,,,,,
62,03/05/20 02:45:00 AM,54.147,,,,,,
63,03/05/20 03:00:00 AM,53.973,,,,,,
64,03/05/20 03:15:00 AM,53.798,,,,,,
65,03/05/20 03:30:00 AM,53.798,,,,,,
66,03/05/20 03:45:00 AM,53.798,,,,,,
67,03/05/20 04:00:00 AM,53.798,,,,,,
68,03/05/20 04:15:00 AM,53.798,,,,,,
69,03/05/20 04:30:00 AM,53.973,,,,,,
70,03/05/20 04:45:00 AM,53.973,,,,,,
71,03/05/20 05:00:00 AM,53.973,,,,,,
72,03/05/20 05:15:00 AM,53.798,,,,,,
73,03/05/20 05:30:00 AM,53.798,,,,,,
74,03/05/20 05:45:00 AM,53.798,,,,,,
75,03/05/20 06:00:00 AM,53.798,,,,,,
76,03/05/20 06:15:00 AM,53.623,,,,,,
77,03/05/20 06:30:00 AM,53.449,,,,,,
78,03/05/20 06:45:00 AM,53.449,,,,,,
79,03/05/20 07:00:00 AM,53.449,,,,,,
80,03/05/20 07:15:00 AM,53.798,,,,,,
81,03/05/20 07:30:00 AM,53.973,,,,,,
82,03/05/20 07:45:00 AM,54.322,,,,,,
83,03/05/20 08:00:00 AM,54.669,,,,,,
84,03/05/20 08:15:00 AM,55.189,,,,,,
85,03/05/20 08:30:00 AM,55.537,,,,,,
86,03/05/20 08:45:00 AM,55.884,,,,,,
87,03/05/20 09:00:00 AM,56.230,,,,,,
88,03/05/20 09:15:00 AM,56.404,,,,,,
